STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-07,,29,14,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-08,,34,22,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-09,,24,8,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-10,,26,2,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-11,,23,1,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-12,,30,-3,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-13,,42,26,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-14,,39,25,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-15,,50,21,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-16,,53,35,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-17,,48,36,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-18,,46,29,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-19,,52,25,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-20,,60,25,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-21,,64,46,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-22,,46,35,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-23,,37,33,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-24,,47,33,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-25,,42,24,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-26,,33,19,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-27,,31,12,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-28,,38,15,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-29,,44,33,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-30,,35,32,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-03-31,,36,24,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-01,,45,21,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-02,,52,32,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-03,,43,25,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-04,,46,34,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-05,,46,36,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-06,,41,33,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-07,,38,31,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-08,,49,32,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-09,,56,25,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-10,,63,38,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-11,,60,36,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-12,,57,34,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-13,,48,31,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-14,,37,28,
